cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
16,3.9944444444444445,3.9805555555555556,0.9965229485396384,1.127344024794208,26.01309290245594,2.8568272132325485,4.330217999014932,4.974612226303144,0.020262923805960502,baseline_25C_1C
17,3.9944444444444445,3.9805555555555556,0.9965229485396384,1.1274175009361072,26.014291200619763,2.8567104833382153,4.330423364251912,4.974252824272407,0.02028689102982612,baseline_25C_1C
18,3.9944444444444445,3.9805555555555556,0.9965229485396384,1.1274696359080556,26.01524165758525,2.8566295739776417,4.330907622434844,4.9726439421208735,0.020305901169001227,baseline_25C_1C
19,3.9916666666666667,3.977777777777778,0.9965205288796103,1.1275414640275843,26.016352955860835,2.8565365313743736,4.33063568479328,4.970585894827413,0.02032813428793877,baseline_25C_1C
20,3.9916666666666667,3.977777777777778,0.9965205288796103,1.1275852251956782,26.01712605975212,2.856468039523844,4.3309556466259655,4.969580858966008,0.020343597183608484,baseline_25C_1C
21,3.9916666666666667,3.977777777777778,0.9965205288796103,1.1276485653442576,26.01820348743663,2.856368274159317,4.331282679114074,4.968671142997048,0.020365146877078775,baseline_25C_1C
22,3.988888888888889,3.975,0.9965181058495822,1.1277251025339843,26.0193242624616,2.85626647054056,4.330795970393739,4.967499003189696,0.02038756959872417,baseline_25C_1C
23,3.988888888888889,3.975,0.9965181058495822,1.1277672113451114,26.020160566185428,2.856202450152548,4.331418395091187,4.965277519313716,0.02040429656285409,baseline_25C_1C
24,3.986111111111111,3.9722222222222223,0.9965156794425087,1.1278093305910524,26.02076847143255,2.856156111976786,4.330994636901645,4.96363636948925,0.020416461392437128,baseline_25C_1C
25,3.986111111111111,3.9722222222222223,0.9965156794425087,1.1278671792191008,26.02171698865337,2.85606425185908,4.331171464615232,4.963291096883113,0.02043543275152669,baseline_25C_1C
26,3.986111111111111,3.9722222222222223,0.9965156794425087,1.1279227527219726,26.02270864082425,2.8559776346437435,4.331614808901487,4.961869125729344,0.020455266855760552,baseline_25C_1C
