cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
14,3.977777777777778,3.9611111111111112,0.9958100558659218,1.2713963838081375,39.086087241709905,2.7091276685378256,4.460143878479974,4.949165287525819,0.020495893898014046,stress_35C_2C
15,3.977777777777778,3.9611111111111112,0.9958100558659218,1.271620337985794,39.093209446176495,2.708827581953892,4.4613356498002394,4.946078173309405,0.0205316190155731,stress_35C_2C
16,3.9722222222222223,3.9555555555555557,0.9958041958041958,1.2719072120841672,39.10096303977403,2.708510226353156,4.460806508397028,4.941924093287063,0.020570913606669752,stress_35C_2C
17,3.9722222222222223,3.9555555555555557,0.9958041958041958,1.2721548213225078,39.10892619060413,2.70817811544242,4.462213578213164,4.938203980794297,0.020610857709109316,stress_35C_2C
18,3.966666666666667,3.95,0.9957983193277311,1.272396563845972,39.11519218481906,2.707920734854078,4.461394168029258,4.9348386725377855,0.02064269514013155,stress_35C_2C
19,3.966666666666667,3.95,0.9957983193277311,1.2726396336925152,39.12297225509156,2.70759444618159,4.462740219267928,4.931314663580037,0.02068172165738547,stress_35C_2C
20,3.9611111111111112,3.9444444444444446,0.9957924263674615,1.2729178328452724,39.13003347115903,2.707284144196889,4.4617644716709,4.9286719735436115,0.02071755286380665,stress_35C_2C
21,3.9611111111111112,3.9444444444444446,0.9957924263674615,1.273104142053716,39.13655527436924,2.707040912886982,4.463342703890119,4.924065625057599,0.020750268289412222,stress_35C_2C
22,3.9555555555555557,3.938888888888889,0.9957865168539326,1.2734401975461571,39.14525968142356,2.7066510709782423,4.462490318912941,4.921271032243552,0.020794347192044378,stress_35C_2C
23,3.9555555555555557,3.938888888888889,0.9957865168539326,1.2737137389553044,39.153942509970555,2.7062835087165515,4.463937905138758,4.917548793134947,0.02083790387251609,stress_35C_2C
24,3.95,3.933333333333333,0.9957805907172995,1.273942705726042,39.1603968567989,2.7060519749972234,4.463644326904774,4.912284329593631,0.020870700667902944,stress_35C_2C
25,3.95,3.933333333333333,0.9957805907172995,1.2741821801389204,39.16757121152123,2.7057250889294013,4.464494462995581,4.910479942137933,0.02090669093879542,stress_35C_2C
26,3.9444444444444446,3.9277777777777776,0.9957746478873238,1.2744358745893114,39.17393536031657,2.705450136821521,4.463479960576028,4.907833409200376,0.020939040042316417,stress_35C_2C
27,3.9444444444444446,3.9277777777777776,0.9957746478873238,1.2746304941387956,39.180261608448745,2.7051906133273977,4.464655345154947,4.904685308404482,0.020970776413755172,stress_35C_2C
28,3.938888888888889,3.922222222222222,0.9957686882933708,1.2748742135319364,39.1866742095021,2.7049339411856113,4.463946601831876,4.9009210470559035,0.021003373323730045,stress_35C_2C
